date,account_id,region,product,metric,value
2024-01-01,a_993046,north-1,Storage,DiskWriteOps,771
2024-01-01,a_993046,north-1,Storage,DiskReadOps,437
2024-01-01,a_371977,north-1,Storage,DiskWriteOps,712
2024-01-01,a_371977,north-1,Storage,DiskReadOps,22
2024-01-01,a_629278,north-1,Storage,DiskWriteOps,132
2024-01-01,a_629278,north-1,Storage,DiskReadOps,434
2024-01-01,a_817245,north-1,Storage,DiskWriteOps,767
2024-01-01,a_817245,north-1,Storage,DiskReadOps,593
2024-01-01,a_329536,north-1,Storage,DiskWriteOps,23
2024-01-01,a_329536,north-1,Storage,DiskReadOps,105
2024-01-01,a_288975,north-1,Storage,DiskWriteOps,10
2024-01-01,a_288975,north-1,Storage,DiskReadOps,37
2024-01-01,a_971809,north-1,Storage,DiskWriteOps,139
2024-01-01,a_971809,north-1,Storage,DiskReadOps,669
2024-01-01,a_896496,north-1,Storage,DiskWriteOps,236
2024-01-01,a_896496,north-1,Storage,DiskReadOps,791
2024-01-01,a_704515,north-1,Storage,DiskWriteOps,538
2024-01-01,a_704515,north-1,Storage,DiskReadOps,133
2024-01-01,a_137712,north-1,Storage,DiskWriteOps,531
2024-01-01,a_137712,north-1,Storage,DiskReadOps,189
2024-01-01,a_993046,north-1,Compute,InstanceHours,193
2024-01-01,a_993046,north-1,Compute,CPUUtilization,554
2024-01-01,a_371977,north-1,Compute,InstanceHours,797
2024-01-01,a_371977,north-1,Compute,CPUUtilization,138
2024-01-01,a_629278,north-1,Compute,InstanceHours,137
2024-01-01,a_629278,north-1,Compute,CPUUtilization,568
2024-01-01,a_817245,north-1,Compute,InstanceHours,115
2024-01-01,a_817245,north-1,Compute,CPUUtilization,261
2024-01-01,a_329536,north-1,Compute,InstanceHours,431
2024-01-01,a_329536,north-1,Compute,CPUUtilization,661
2024-01-01,a_288975,north-1,Compute,InstanceHours,334
2024-01-01,a_288975,north-1,Compute,CPUUtilization,150
2024-01-01,a_971809,north-1,Compute,InstanceHours,314
2024-01-01,a_971809,north-1,Compute,CPUUtilization,593
2024-01-01,a_896496,north-1,Compute,InstanceHours,118
2024-01-01,a_896496,north-1,Compute,CPUUtilization,727
2024-01-01,a_704515,north-1,Compute,InstanceHours,71
2024-01-01,a_704515,north-1,Compute,CPUUtilization,246
2024-01-01,a_137712,north-1,Compute,InstanceHours,262
2024-01-01,a_137712,north-1,Compute,CPUUtilization,122
2024-01-01,a_993046,east-2,Storage,DiskWriteOps,585
2024-01-01,a_993046,east-2,Storage,DiskReadOps,690
2024-01-01,a_371977,east-2,Storage,DiskWriteOps,721
2024-01-01,a_371977,east-2,Storage,DiskReadOps,289
2024-01-01,a_629278,east-2,Storage,DiskWriteOps,45
2024-01-01,a_629278,east-2,Storage,DiskReadOps,604
2024-01-01,a_817245,east-2,Storage,DiskWriteOps,253
2024-01-01,a_817245,east-2,Storage,DiskReadOps,567
2024-01-01,a_329536,east-2,Storage,DiskWriteOps,293
2024-01-01,a_329536,east-2,Storage,DiskReadOps,647
2024-01-01,a_288975,east-2,Storage,DiskWriteOps,744
2024-01-01,a_288975,east-2,Storage,DiskReadOps,380
2024-01-01,a_971809,east-2,Storage,DiskWriteOps,503
2024-01-01,a_971809,east-2,Storage,DiskReadOps,761
2024-01-01,a_896496,east-2,Storage,DiskWriteOps,6
2024-01-01,a_896496,east-2,Storage,DiskReadOps,613
2024-01-01,a_704515,east-2,Storage,DiskWriteOps,467
2024-01-01,a_704515,east-2,Storage,DiskReadOps,80
2024-01-01,a_137712,east-2,Storage,DiskWriteOps,786
2024-01-01,a_137712,east-2,Storage,DiskReadOps,404
2024-01-01,a_993046,east-2,Compute,InstanceHours,518
2024-01-01,a_993046,east-2,Compute,CPUUtilization,257
2024-01-01,a_371977,east-2,Compute,InstanceHours,447
2024-01-01,a_371977,east-2,Compute,CPUUtilization,474
2024-01-01,a_629278,east-2,Compute,InstanceHours,443
2024-01-01,a_629278,east-2,Compute,CPUUtilization,82
2024-01-01,a_817245,east-2,Compute,InstanceHours,713
2024-01-01,a_817245,east-2,Compute,CPUUtilization,605
2024-01-01,a_329536,east-2,Compute,InstanceHours,723
2024-01-01,a_329536,east-2,Compute,CPUUtilization,162
2024-01-01,a_288975,east-2,Compute,InstanceHours,784
2024-01-01,a_288975,east-2,Compute,CPUUtilization,557
2024-01-01,a_971809,east-2,Compute,InstanceHours,93
2024-01-01,a_971809,east-2,Compute,CPUUtilization,740
2024-01-01,a_896496,east-2,Compute,InstanceHours,23
2024-01-01,a_896496,east-2,Compute,CPUUtilization,531
2024-01-01,a_704515,east-2,Compute,InstanceHours,156
2024-01-01,a_704515,east-2,Compute,CPUUtilization,704
2024-01-01,a_137712,east-2,Compute,InstanceHours,56
2024-01-01,a_137712,east-2,Compute,CPUUtilization,736
2024-01-01,a_993046,west-1,Storage,DiskWriteOps,178
2024-01-01,a_993046,west-1,Storage,DiskReadOps,675
2024-01-01,a_371977,west-1,Storage,DiskWriteOps,753
2024-01-01,a_371977,west-1,Storage,DiskReadOps,575
2024-01-01,a_629278,west-1,Storage,DiskWriteOps,109
2024-01-01,a_629278,west-1,Storage,DiskReadOps,380
2024-01-01,a_817245,west-1,Storage,DiskWriteOps,112
2024-01-01,a_817245,west-1,Storage,DiskReadOps,521
2024-01-01,a_329536,west-1,Storage,DiskWriteOps,470
2024-01-01,a_329536,west-1,Storage,DiskReadOps,91
2024-01-01,a_288975,west-1,Storage,DiskWriteOps,92
2024-01-01,a_288975,west-1,Storage,DiskReadOps,501
2024-01-01,a_971809,west-1,Storage,DiskWriteOps,627
2024-01-01,a_971809,west-1,Storage,DiskReadOps,299
2024-01-01,a_896496,west-1,Storage,DiskWriteOps,303
2024-01-01,a_896496,west-1,Storage,DiskReadOps,401
